"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 11 14:26:29 GMT 2024","Fri Oct 11 14:26:30 GMT 2024","231","test.teams","test_post_team","","","","test_create_team_with_name_at_100_char_limit_returns_200",""
"passed","Fri Oct 11 14:26:52 GMT 2024","Fri Oct 11 14:26:52 GMT 2024","194","test.users","test_get_users","","","","test_order_by_valid_field_returns_200",""
"passed","Fri Oct 11 14:26:39 GMT 2024","Fri Oct 11 14:26:39 GMT 2024","162","test.teams","test_put_team","","","","test_update_team_with_invalid_characters_in_name_returns_400",""
"passed","Fri Oct 11 14:26:53 GMT 2024","Fri Oct 11 14:26:53 GMT 2024","162","test.users","test_post_user","","","","test_create_user_with_first_name_exceeding_100_characters_returns_400",""
"passed","Fri Oct 11 14:26:36 GMT 2024","Fri Oct 11 14:26:36 GMT 2024","161","test.teams","test_post_users_team","","","","test_link_user_with_invalid_or_non_existent_id_returns_404",""
"passed","Fri Oct 11 14:26:32 GMT 2024","Fri Oct 11 14:26:32 GMT 2024","165","test.teams","test_post_team","","","","test_create_team_with_invalid_layout_set_id_returns_403",""
"passed","Fri Oct 11 14:26:51 GMT 2024","Fri Oct 11 14:26:51 GMT 2024","191","test.users","test_get_users","","","","test_list_users_with_select_parameter_returns_200",""
"passed","Fri Oct 11 14:26:37 GMT 2024","Fri Oct 11 14:26:37 GMT 2024","189","test.teams","test_put_team","","","","test_update_team_with_min_length_name_returns_200",""
"passed","Fri Oct 11 14:26:54 GMT 2024","Fri Oct 11 14:26:54 GMT 2024","236","test.users","test_post_user","","","","test_create_user_with_valid_phone_number_returns_200",""
"passed","Fri Oct 11 14:26:26 GMT 2024","Fri Oct 11 14:26:27 GMT 2024","195","test.teams","test_get_teams","","","","test_get_teams_for_authenticated_user_returns_http_200",""
"passed","Fri Oct 11 14:26:31 GMT 2024","Fri Oct 11 14:26:31 GMT 2024","161","test.teams","test_post_team","","","","test_create_team_with_invalid_roles_ids_array_returns_403",""
"passed","Fri Oct 11 14:26:15 GMT 2024","Fri Oct 11 14:26:15 GMT 2024","172","test.teams","test_delete_team","","","","test_user_without_permissions_cannot_delete_team_returns_403",""
"passed","Fri Oct 11 14:26:48 GMT 2024","Fri Oct 11 14:26:48 GMT 2024","328","test.users","test_delete_user","","","","test_delete_already_deleted_user_returns_404",""
"passed","Fri Oct 11 14:26:26 GMT 2024","Fri Oct 11 14:26:26 GMT 2024","199","test.teams","test_get_teams","","","","test_get_teams_with_invalid_order_returns_400",""
"passed","Fri Oct 11 14:26:20 GMT 2024","Fri Oct 11 14:26:20 GMT 2024","156","test.teams","test_delete_user_team","","","","test_user_without_permissions_cannot_access_unlink_user_teams_module_returns_403",""
"passed","Fri Oct 11 14:26:47 GMT 2024","Fri Oct 11 14:26:47 GMT 2024","154","test.users","test_delete_user","","","","test_delete_user_without_permissions_returns_403",""
"passed","Fri Oct 11 14:26:27 GMT 2024","Fri Oct 11 14:26:27 GMT 2024","168","test.teams","test_get_users_team","","","","test_list_users_of_team_with_valid_id_returns_200",""
"skipped","Fri Oct 11 14:26:21 GMT 2024","Fri Oct 11 14:26:22 GMT 2024","350","test.teams","test_get_team","","","","test_view_deleted_team_returns_404",""
"passed","Fri Oct 11 14:26:49 GMT 2024","Fri Oct 11 14:26:49 GMT 2024","196","test.users","test_get_user","","","","test_get_user_without_permission_returns_403",""
"passed","Fri Oct 11 14:26:27 GMT 2024","Fri Oct 11 14:26:28 GMT 2024","154","test.teams","test_get_users_team","","","","test_list_users_for_non_existent_team_id_returns_404",""
"passed","Fri Oct 11 14:26:25 GMT 2024","Fri Oct 11 14:26:25 GMT 2024","167","test.teams","test_get_teams","","","","test_get_teams_with_empty_orderby_ignored_returns_200",""
